id,name,neighbourhood,room_type
9047841,Victorian Paradise Downtown Campbell intelliBed,Campbell,Entire home/apt
9062378,Renovated Guest House with AC - Downtown Palo Alto,Palo Alto,Entire home/apt
9090803,Charming Palo Alto guesthouse,Palo Alto,Entire home/apt
9096242,Silicon Valley WFH Retreat w/Patio Garden 2Br/2Ba,Campbell,Entire home/apt
9097082,1 bedroom apt with twin beds in Downtown Victorian,San Jose,Entire home/apt
9117572,"Entire 1br House by LEVI’S Stadium, 10 min to SJC",San Jose,Entire home/apt
9166160,2~No cleaning fee~private bedroom~double bed~Sunny,Sunnyvale,Private room
9184057,Private 2 bedroom Bungalow  walk to Apple,Cupertino,Entire home/apt
9219386,Cozy & Private Room/Bathroom,San Jose,Private room
9281040,"Queen Rm/Own Bath: Convention Cntr, Silicon Valley",Sunnyvale,Private room
9283490,6 bedroom Farmhouse with pool! 40 min from SJ.,Unincorporated Areas,Entire home/apt
9301350,Beautiful Spacious Home in a Quiet Area,San Jose,Entire home/apt
9361676,Palo Alto-Stanford Sanctuary | 2BR,Palo Alto,Entire home/apt
9364139,Luxury guest suite in Los Gatos - Beach in 30 min!,Unincorporated Areas,Entire home/apt
9389706,Charming 1 bedroom/1 bath room to rent,Gilroy,Private room
9428473,1 Bdrm Duplex walk to Apple Infinite Loop,Cupertino,Entire home/apt
9438576,Clean + Quiet + Food Provided: Work from Home,San Jose,Shared room
9459809,Splendid - Resort Style,Los Altos,Entire home/apt
9463114,Comfortable guest room,San Jose,Private room
9463269,Beautiful modern 1 bedroom apt. with full kitchen,San Jose,Entire home/apt
9477894,"Private access, Clean & Convenient",Palo Alto,Private room
9480364,"Cozy, Private Guesthouse in Palo Alto",Palo Alto,Entire home/apt
9513866,"Sunny, bright and serene atmosphere",San Jose,Private room
9549156,"Studio w/ own bath, priv entrance, Walk to Nvidia!",Santa Clara,Entire home/apt
9596866,Duplex House,San Jose,Entire home/apt
9652669,Private Room and Bathroom. Professionally Cleaned.,Sunnyvale,Private room
9665614,Clean remodeled private suite w/ separate entrance,Santa Clara,Entire home/apt
9717293,1 Bedroom cottage in Los Gatos!,Los Gatos,Entire home/apt
9726331,Country style near downtown S.J.,San Jose,Entire home/apt
9778243,A complete separate In-law/studio with King bed.,Morgan Hill,Entire home/apt
9783831,Cozy downtown Palo Alto apartment,Palo Alto,Entire home/apt
9787705,Great 1 bedroom Cupertino by Apple,Cupertino,Private room
9797218,1-bedroom guesthouse w/ full kitchen near DTSJ/SAP,San Jose,Entire home/apt
9798491,Furnished Mountain View downtown,Mountain View,Private room
9838874,Downtown San Jose Luxury High Rise,San Jose,Entire home/apt
9856546,"Parkside Suite - modern, private, 2 room suite",Cupertino,Entire home/apt
9865209,"2 bedroom / 1 bath house, convenience and value",Sunnyvale,Entire home/apt
9881395,Nice 4 Travelers & Business People,San Jose,Private room
9902837,APARTMENT (2) Downstairs Unit Near SAN JOSE STATE,San Jose,Entire home/apt
9905902,Mtn View Castro Street-2 bedroom~Students Interns,Mountain View,Entire home/apt
9925614,Spacious Mt View 1B/1B In-law Suite,Mountain View,Entire home/apt
9929199,"Romantic Lux Villa, sunny deck w fire pit & pool",Sunnyvale,Entire home/apt
9942015,Spacious Palo Alto Home Near Downtown & Stanford,Palo Alto,Entire home/apt
9942210,Palo Alto Cottage Near Stanford & Tech Companies,Palo Alto,Entire home/apt
9958873,Independent two room unit,Cupertino,Entire home/apt
9962672,"359 #C2 dwntwn,new studio/ba,hardwd",Palo Alto,Private room
10001457,The Vintage Place @ Bayview  #2,Sunnyvale,Entire home/apt
10005528,Bedroom w/ private bath in brand new luxury home,Mountain View,Private room
10023746,Cozy room in San Jose &Willow glen,San Jose,Private room
10033206,"357 #A 1bedrm/1bath,dwntwn,Stanford,park,AC Hardwd",Palo Alto,Entire home/apt
10041891,Gorgeous home in a Great centralized Location,San Jose,Entire home/apt
10061082,2BR Luxury Fully Furnished Townhouse,Mountain View,Private room
10068138,Charming studio in the ❤️ of Palo Alto,Palo Alto,Entire home/apt
10071148,Master BR with Private full bath,Sunnyvale,Private room
10071684,Warm Sunny Mediterranean House,San Jose,Entire home/apt
10089810,Luxurious Private Master suite near tech companies,Santa Clara,Private room
10091995,Country Horse Cottage,Unincorporated Areas,Entire home/apt
10107544,Beautiful apartment in downtown SJ,San Jose,Entire home/apt
10144705,Private and cozy guest suite in Central San Jose,San Jose,Entire home/apt
10156347,Luxury 2 Room Private Bunglow - Executive Suite,Cupertino,Entire home/apt
10214271,"LemonOrange Garden All Private bedrm, kitchn, bath",Mountain View,Entire home/apt
10233191,"Near Apple Headquarter, great location. 苹果附近，欢迎长租。",San Jose,Private room
